available	available	erhältlich	disponible	disponible	доступный
copyright	copyright	Copyright	droits d'auteur	derechos de autor	Авторские права
support	support	unterstützen	soutien	apoyo	поддержка
message	message	Nachricht	message	mensaje	сообщение
after	after	nach	après	después	после
best	best	Beste	meilleur	mejor	Лучший
software	software	Software	logiciel	software	программного обеспечения
then	then	dann	puis	entonces	тогда
January	January	Januar	janvier	enero	январь
good	good	gut	bien	bueno	хорошо
video	video	Video	Vidéo	vídeo	видео
well	well	Gut	bien	bien	Что ж
where	where	woher	où	dónde	где
info	info	Info	Info	info	Информация
rights	rights	Rechte	droits	derechos	права
public	public	Öffentlichkeit	public	público	общественности
books	books	Bücher	livres	libros	книги
high	high	hoch	haute	alto	высокая
school	school	Schule	école	colegio	школа
through	through	durch	par	mediante	через
each	each	jede einzelne	chaque	cada	каждый
links	links	Links	des liens	campo de golf	связи
she	she	sie	elle	ella	она
review	review	Überprüfung	la revue	revisión	обзор
years	years	Jahre	années	años	лет
order	order	Auftrag	commande	orden	заказ
very	very	sehr	très	muy	очень
privacy	privacy	Privatsphäre	intimité	intimidad	Конфиденциальность
book	book	Buch	livre	libro	книга
items	items	Artikel	articles	artículos	Предметы
company	company	Unternehmen	compagnie	empresa	Компания
read	read	lesen	lis	leer	читать
group	group	Gruppe	groupe	grupo	группа
sex	sex	Sex	sexe	sexo	секс
need	need	brauchen	avoir besoin	necesitar	необходимость
many	many	viele	beaucoup	muchos	многие
user	user	Benutzer	utilisateur	usuario	пользователь
said	said	sagte	dit	dijo	сказал
does	does	tut	Est-ce que	hace	делает
set	set	Set	ensemble	conjunto	задавать
under	under	unter	en dessous de	debajo	под
general	general	General	général	general	Генеральная
research	research	Forschung	recherche	investigación	исследование
university	university	Universität	université	Universidad	Университет
january	january	Januar	janvier	enero	январь
mail	mail	Post	courrier	correo	почта
full	full	voll	plein	completo	полный
map	map	Karte	carte	mapa	карта
reviews	reviews	Bewertungen	avis	críticas	отзывы
program	program	Programm	programme	programa	программа
life	life	Leben	la vie	vida	жизнь
know	know	kennt	connaître	saber	знать
games	games	Spiele	des jeux	juegos	игры
way	way	Weg	façon	camino	путь
days	days	Tage	journées	días	дней
management	management	Management	la gestion	administración	управление
part	part	Teil	partie	parte	часть
could	could	könnte	pourrait	podría	мог
great	great	groß	génial	estupendo	Великий
united	united	vereinigt	uni	unido	единый
hotel	hotel	Hotel	un hôtel	hotel	Гостиница
real	real	echt	réal	real	реальный
item	item	Artikel	article	ít	пункт
international	international	International	international	internacional	Международный
center	center	Center	centre	centrar	центр
ebay	ebay	Ebay	ebay	eBay	Ebay
must	must	sollen	doit	debe	должен
store	store	Geschäft	boutique	almacenar	магазин
travel	travel	Reise	Voyage	viajar	путешествовать
comments	comments	Bemerkungen	commentaires	comentarios	Комментарии
made	made	gemacht	fabriqué	hecho	сделал
development	development	Entwicklung	développement	desarrollo	разработка
report	report	Bericht	rapport	informe	доклад
off	off	aus	de	apagado	от
member	member	Mitglied	membre	miembro	член
details	details	Details	détails	detalles	Детали
line	line	Linie	ligne	línea	линия
terms	terms	Bedingungen	termes	condiciones	сроки
before	before	Vor	avant	antes de	до
hotels	hotels	Hotels	hôtels	hoteles	отели
did	did	tat	fait	hizo	сделал
send	send	senden	envoyer	enviar	Отправить
right	right	Recht	droite	derecho	правильно
type	type	Art	type	tipo	тип
because	because	weil	car	porque	потому как
local	local	lokal	local	local	местный
those	those	jene	ceux	aquellos	те
using	using	Verwendung	en utilisant	utilizando	с помощью
results	results	Ergebnisse	résultats	resultados	Результаты
office	office	Büro	Bureau	oficina	офис
education	education	Bildung	éducation	Educación	образование
national	national	National	nationale	nacional	национальный
car	car	Auto	voiture	coche	автомобиль
design	design	Entwurf	conception	diseño	дизайн
take	take	nehmen	prendre	tomar	взять
posted	posted	Gesendet	posté	al corriente	отправил
internet	internet	Internet	Internet	Internet	интернет
address	address	Adresse	adresse	dirección	адрес
community	community	Gemeinschaft	Communauté	comunidad	сообщество
within	within	innerhalb	dans	dentro	в
states	states	Staaten	États	estados	состояния
area	area	Bereich	région	zona	площадь
want	want	wollen	vouloir	querer	хотеть
phone	phone	Telefon	téléphone	teléfono	Телефон
dvd	dvd	DVD	DVD	DVD	DVD
shipping	shipping	Versand	livraison	Envío	Перевозка
reserved	reserved	reserviert	réservé	reservado	зарезервированный
subject	subject	Fach	assujettir	tema	предмет
between	between	zwischen	entre	Entre	между
forum	forum	Forum	forum	foro	Форум
family	family	Familie	famille	familia	семья
long	long	lange	longue	largo	длинный
based	based	basierend	basé	basado	исходя из
code	code	Code	code	código	код
show	show	Show	montrer	espectáculo	показать
even	even	sogar	pair	incluso	даже
black	black	schwarz	noir	negro	черный
check	check	prüfen	vérifier	comprobar	проверить
special	special	besondere	spécial	especial	особый
prices	prices	Preise	prix	precios	Цены
website	website	Webseite	site Internet	sitio web	Веб-сайт
index	index	Index	indice	índice	индекс
being	being	Sein	étant	siendo	являющийся
women	women	Frau	femmes	mujer	женщины
much	much	viel	beaucoup	mucho	много
sign	sign	Schild	signe	firmar	знак
file	file	Datei	fichier	archivo	файл
link	link	Link	lien	enlazar	ссылка
open	open	öffnen	Ouvert	abierto	открытый
today	today	heute	aujourd'hui	hoy	Cегодня
technology	technology	Technologie	La technologie	tecnología	технологии
south	south	Süd	Sud	sur	юг
case	case	Fall	Cas	caso	дело
project	project	Projekt	projet	proyecto	проект
same	same	gleich	Même	mismo	одна и та же
pages	pages	Seiten	pages	páginas	страницы
UK	UK	Vereinigtes Königreich	Royaume-Uni	Reino Unido	Великобритания
version	version	Version	version	versión	версия
section	section	Abschnitt	section	sección	раздел
own	own	besitzen	posséder	propio	своя
found	found	gefunden	a trouvé	encontró	найденный
sports	sports	Sport	des sports	Deportes	виды спорта
house	house	Haus	maison	casa	дом
related	related	verbunden	en relation	relacionado	Связанный
security	security	Sicherheit	la sécurité	seguridad	безопасность
both	both	beide	tous les deux	ambos	и то и другое
county	county	County	comté	condado	округ
american	american	amerikanisch	américain	americano	Американская
photo	photo	Foto	photo	foto	Фото
game	game	Spiel	Jeu	juego	игра
members	members	Mitglieder	membres	los miembros	члены
power	power	Power	Puissance	poder	мощность
while	while	während	tandis que	mientras	в то время как
care	care	Pflege	soins	cuidado	забота
network	network	Netzwerk	réseau	red	сеть
down	down	nach unten	vers le bas	abajo	вниз
computer	computer	Computer	ordinateur	computadora	компьютер
systems	systems	Systeme	systèmes	sistemas	системы
three	three	drei	Trois	Tres	три
total	total	gesamt	total	total	Всего
place	place	Ort	endroit	lugar	место
end	end	Ende	fin	fin	конец
following	following	folgende	Suivant	siguiendo	следующий
download	download	herunterladen	Télécharger	descargar	скачать
him	him	ihm	lui	él	его
without	without	ohne	sans pour autant	sin	без
per	per	pro	par	por	в
access	access	Zugriff	accès	acceso	доступ
think	think	denken	pense	pensar	думать
north	north	Norden	Nord	norte	север
resources	resources	Ressourcen	Ressources	recursos	Ресурсы
current	current	Strom	courant	corriente	текущий
posts	posts	Beiträge	des postes	mensajes	сообщений
big	big	groß	gros	grande	большой
media	media	Medien	médias	medios de comunicación	СМИ
law	law	Recht	loi	ley	закон
control	control	steuern	contrôle	controlar	контроль
water	water	Wasser	eau	agua	воды
history	history	Geschichte	histoire	historia	история
pictures	pictures	Bilder	des photos	imágenes	картинки
size	size	Größe	Taille	tamaño	размер
art	art	Kunst	art	art	Изобразительное искусство
personal	personal	persönlich	personnel	personal	личный
since	since	schon seit	depuis	ya que	поскольку
including	including	einschließlich	comprenant	incluso	в том числе
guide	guide	führen	guider	guía	руководство
shop	shop	Geschäft	boutique	tienda	магазин
directory	directory	Verzeichnis	annuaire	directorio	каталог
board	board	Tafel	planche	tablero	доска
location	location	Lage	emplacement	ubicación	место нахождения
change	change	Veränderung	changement	cambio	изменение
white	white	Weiß	blanc	blanco	белый
text	text	Text	texte	texto	текст
small	small	klein	petit	pequeña	маленький
rating	rating	Wertung	évaluation	clasificación	рейтинг
rate	rate	Preis	taux	tarifa	ставка
government	government	Regierung	gouvernement	gobierno	правительство
children	children	Kinder	enfants	niños	дети
during	during	während	pendant	durante	в течение
usa	usa	USA	Etats-Unis	Estados Unidos	США
return	return	Rückkehr	retour	regreso	вернуть
students	students	Studenten	élèves	estudiantes	студенты
shopping	shopping	Einkaufen	achats	compras	поход по магазинам
account	account	Konto	compte	cuenta	Счет
times	times	mal	fois	veces	раз
sites	sites	Standorte	des sites	sitios	места
level	level	Ebene	niveau	nivel	уровень
digital	digital	digital	numérique	digital	цифровой
profile	profile	Profil	Profil	perfil	профиль
previous	previous	früher	précédent	anterior	предыдущий
form	form	bilden	forme	formar	форма
events	events	Veranstaltungen	événements	eventos	Мероприятия
love	love	Liebe	amour	amor	люблю
old	old	alt	vieux	antiguo	старый
john	john	John	John	John	Джон
main	main	Main	principale	principal	главный
call	call	Anruf	appel	llamada	вызов
hours	hours	Stunden	heures	horas	часов
image	image	Image	image	imagen	образ
department	department	Abteilung	département	Departamento	отдел
title	title	Titel	Titre	título	заглавие
description	description	Beschreibung	la description	descripción	описание
non	non	nicht	non	no	не
insurance	insurance	Versicherung	Assurance	seguro	страхование
another	another	ein anderer	un autre	otro	другой
why	why	Warum	Pourquoi	por qué	Зачем
shall	shall	soll	doit	deberá	должен
property	property	Eigentum	propriété	propiedad	имущество
class	class	Klasse	classe	clase	класс
cd	cd	CD	CD	discos compactos	CD
still	still	immer noch	encore	todavía	все еще
money	money	Geld	argent	dinero	Деньги
quality	quality	Qualität	qualité	calidad	качественный
every	every	jeden	chaque	cada	каждый
listing	listing	Auflistung	inscription	listado	листинг
content	content	Inhalt	contenu	contenido	содержание
country	country	Land	Pays	país	страна
private	private	Privatgelände	privé	privado	частный
little	little	wenig	peu	pequeño	немного
visit	visit	Besuch	visite	visitar	посещение
save	save	sparen	enregistrer	salvar	спасти
tools	tools	Werkzeuge	outils	herramientas	инструменты
low	low	niedrig	faible	bajo	низкий
reply	reply	Antworten	répondre	respuesta	Ответить
customer	customer	Kunde	client	cliente	клиент
december	december	Dezember	décembre	diciembre	Декабрь
compare	compare	vergleichen	comparer	comparar	сравнить
movies	movies	Filme	films	películas	кино
include	include	einschließen	comprendre	incluir	включают
college	college	Hochschule	Université	Universidad	колледж
value	value	Wert	valeur	valor	стоимость
article	article	Artikel	article	artículo	статья
man	man	Mann	homme	hombre	человек
card	card	Karte	carte	tarjeta	карта
jobs	jobs	Arbeitsplätze	emplois	trabajos	работы
provide	provide	zu Verfügung stellen	fournir	proporcionar	предоставлять
food	food	Lebensmittel	aliments	comida	питание
source	source	Quelle	la source	fuente	источник
author	author	Autor	auteur	autor	автор
different	different	anders	différent	diferente	другой
press	press	drücken	presse	prensa	Нажмите
learn	learn	lernen	apprendre	aprender	учить
sale	sale	Verkauf	vente	venta	продажа
around	around	um	autour	alrededor	вокруг
print	print	drucken	impression	impresión	Распечатать
course	course	Kurs	cours	curso	курс
job	job	Job	emploi	trabajo	работа
canada	canada	Kanada	Canada	Canadá	Канада
process	process	verarbeiten	processus	proceso	обработать
teen	teen	jugendlich	adolescent	adolescente	подросток
room	room	Zimmer	chambre	habitación	комната
stock	stock	Stock	Stock	valores	акции
training	training	Ausbildung	entraînement	formación	обучение
too	too	auch	aussi	también	слишком
credit	credit	Kredit	crédit	crédito	кредит
point	point	Punkt	point	punto	точка
join	join	beitreten	Joindre	unirse	присоединиться
science	science	Wissenschaft	science	ciencia	наука
men	men	Männer	Hommes	hombres	люди
categories	categories	Kategorien	Catégories	categorías	категории
advanced	advanced	fortgeschritten	Avancée	avanzado	продвинутый
west	west	West	Ouest	Oeste	запад
sales	sales	Der Umsatz	Ventes	ventas	продажи
look	look	Schau	Regardez	Mira	смотреть
english	english	Englisch	Anglais	Inglés	английский
left	left	links	à gauche	izquierda	оставил
team	team	Mannschaft	équipe	equipo	команда
estate	estate	Gut	biens	inmuebles	имущество
box	box	Box	boîte	caja	коробка
conditions	conditions	Bedingungen	conditions	condiciones	условия
select	select	wählen	sélectionner	seleccionar	Выбрать
windows	windows	Fenster	Fenêtres	ventanas	окна
photos	photos	Fotos	Photos	fotos	фото
gay	gay	Homosexuell	gai	homosexual	гей
thread	thread	Faden	fil	hilo	нить
week	week	Woche	la semaine	semana	неделю
category	category	Kategorie	Catégorie	categoría	категория
note	note	Hinweis	Remarque	Nota	заметка
live	live	Leben	vivre	vivir	жить
large	large	groß	grand	grande	большой
gallery	gallery	Galerie	Galerie	galería	галерея
table	table	Tabelle	table	mesa	Таблица
register	register	Neu registrieren	registre	registro	регистр
however	however	aber	toutefois	sin embargo	Однако
June	June	Juni	juin	junio	июнь
October	October	Oktober	octobre	octubre	октября
November	November	November	novembre	noviembre	ноябрь
market	market	Markt	marché	mercado	рынок
library	library	Bibliothek	bibliothèque	biblioteca	библиотека
really	really	wirklich	vraiment	De Verdad	действительно
action	action	Aktion	action	acción	действие
start	start	Anfang	Démarrer	comienzo	Начало
series	series	Serie	séries	serie	серии
model	model	Modell-	maquette	modelo	модель
features	features	Eigenschaften	fonctionnalités	caracteristicas	функции
air	air	Luft	air	aire	воздух
industry	industry	Industrie	industrie	industria	промышленность
plan	plan	planen	plan	plan	план
human	human	Mensch	Humain	humano	человек
provided	provided	unter der Voraussetzung	à condition de	previsto	предоставлена
TV	TV	Fernseher	la télé	televisión	ТВ
yes	yes	Ja	Oui	sí	да
required	required	erforderlich	Obligatoire	necesario	обязательный
second	second	zweite	seconde	segundo	второй
hot	hot	heiß	chaud	caliente	горячий
accessories	accessories	Zubehör	accessoires	accesorios	аксессуары
cost	cost	Kosten	Coût	costo	Стоимость
movie	movie	Film	film	película	кино
forums	forums	Foren	forums	foros	форумы
march	march	März	Mars	marzo	Март
september	september	September	septembre	septiembre	сентябрь
better	better	besser	meilleur	mejor	лучше
say	say	sagen	dire	decir	сказать
questions	questions	Fragen	les questions	preguntas	вопросов
july	july	Juli	juillet	julio	июль
yahoo	yahoo	yahoo	yahoo	yahoo	Yahoo
going	going	gehen	aller	yendo	собирается
medical	medical	medizinisch	médical	médico	медицинская
test	test	Test	tester	prueba	контрольная работа
friend	friend	Freund	ami	amigo	друг
come	come	kommen Sie	viens	ven	приехать
dec	dec	Dezember	déc	dic	декабрь
server	server	Server	serveur	servidor	сервер
PC	PC	PC	ordinateur personnel	ordenador personal	ПК
study	study	Studie	étude	estudiar	изучение
application	application	Anwendung	application	solicitud	заявление
cart	cart	Karte	Chariot	carro	тележка
staff	staff	Personal	Personnel	personal	сотрудники
articles	articles	Artikel	des articles	artículos	статьи
feedback	feedback	Feedback	retour d'information	realimentación	Обратная связь
again	again	Nochmals	encore	de nuevo	еще раз
play	play	spielen	jouer	jugar	играть
looking	looking	Suche	recherche	mirando	Ищу
issues	issues	Probleme	problèmes	cuestiones	вопросы
april	april	April	avril	abril	апрель
never	never	nie	jamais	Nunca	никогда
users	users	Benutzer	utilisateurs	usuarios	пользователи
complete	complete	komplett	Achevée	completar	полный
street	street	Straße	rue	calle	улица
topic	topic	Thema	sujet	tema	тема
comment	comment	Kommentar	commentaire	comentario	комментарий
financial	financial	finanzielle	financier	financiero	финансовый
things	things	Dinge	des choses	cosas	вещи
working	working	Arbeiten	travail	trabajando	за работой
against	against	gegen	contre	en contra	против
standard	standard	Standard	Standard	estándar	стандарт
tax	tax	Steuer	impôt	impuesto	налог
person	person	Person	la personne	persona	человек
below	below	unten	au dessous de	abajo	ниже
mobile	mobile	Mobile	mobile	móvil	мобильный
less	less	Weniger	Moins	Menos	Меньше
got	got	bekam	eu	tiene	получил
blog	blog	Blog	Blog	Blog	блог
party	party	Party	fête	fiesta	вечеринка
payment	payment	Zahlung	Paiement	pago	оплата
equipment	equipment	Ausrüstung	équipement	equipo	оборудование
login	login	Anmeldung	s'identifier	iniciar sesión	авторизоваться
student	student	Schüler	élève	estudiante	студент
let	let	Lassen	laisser	dejar	позволять
programs	programs	Programme	programmes	programas	программы
offers	offers	bietet an	des offres	ofertas	предложения
legal	legal	legal	légal	legal	правовой
above	above	über	au dessus	encima	выше
recent	recent	kürzlich	récent	reciente	недавний
park	park	Park	parc	parque	парк
stores	stores	Geschäfte	les magasins	víveres	магазины
side	side	Seite	côté	lado	боковая сторона
act	act	Handlung	acte	acto	акт
problem	problem	Problem	problème	problema	проблема
red	red	rot	rouge	rojo	красный
give	give	geben	donner	dar	дайте
memory	memory	Erinnerung	Mémoire	memoria	Память
performance	performance	Performance	performance	actuación	представление
social	social	soziale	social	social	Социальное
august	august	August	août	agosto	август
quote	quote	Zitat	citation	citar	цитата
language	language	Sprache	la langue	idioma	язык
story	story	Geschichte	récit	historia	история
sell	sell	verkaufen	vendre	vender	продавать
options	options	Optionen	Options	opciones	опции
experience	experience	Erfahrung	expérience	experiencia	опыт
rates	rates	Preise	les taux	tarifas	ставки
create	create	erstellen	Créer	crear	Создайте
key	key	Schlüssel	clé	llave	ключ
body	body	Körper	corps	cuerpo	тело
young	young	jung	Jeune	joven	молодой
america	america	Amerika	Amérique	America	Америка
important	important	wichtig	important	importante	важный
field	field	Feld	champ	campo	поле
few	few	wenige	peu	pocos	мало
east	east	Osten	est	este	восток
paper	paper	Papier-	papier	papel	бумага
single	single	Single	unique	soltero	Один
age	age	Alter	âge	años	возраст
activities	activities	Aktivitäten	Activités	ocupaciones	виды деятельности
club	club	Verein	club	club	клуб
example	example	Beispiel	Exemple	ejemplo	пример
girls	girls	Mädchen	Filles	chicas	девочки
additional	additional	zusätzlich	supplémentaire	adicional	дополнительный
password	password	Passwort	mot de passe	contraseña	пароль
latest	latest	neueste	dernier	último	последний
something	something	etwas	quelque chose	alguna cosa	что нибудь
road	road	Straße	route	la carretera	Дорога
gift	gift	Geschenk	cadeau	regalo	подарок
question	question	Frage	question	pregunta	вопрос
changes	changes	Änderungen	changements	cambios	изменения
night	night	Nacht-	nuit	noche	ночь
ca.	ca.	ungefähr	à propos	California.	ок
hard	hard	hart	difficile	difícil	жесткий
Texas	Texas	Texas	Texas	Texas	Техас
October	October	Oktober	octobre	octubre	октября
pay	pay	bezahlen	Payer	paga	платить
four	four	vier	quatre	las cuatro	4
poker	poker	Poker	poker	póker	покер
status	status	Status	statut	estado	положение дел
browse	browse	blättern	Feuilleter	vistazo	просматривать
issue	issue	Problem	problème	problema	вопрос
range	range	Angebot	gamme	distancia	ассортимент
building	building	Gebäude	bâtiment	edificio	здание
seller	seller	Verkäufer	vendeur	vendedor	продавец
court	court	Gericht	tribunal	Corte	суд
February	February	Februar	février	febrero	февраль
always	always	immer	toujours	siempre	всегда
result	result	Ergebnis	résultat	resultado	результат
audio	audio	Audio	Audio	audio	аудио
light	light	Licht	lumière	ligero	легкий
write	write	schreiben	écrire	escribir	записывать
war	war	Krieg	guerre	guerra	война
nov	nov	November	nov	nov	ноябрь
offer	offer	Angebot	offre	oferta	предлагает
blue	blue	blau	bleu	azul	синий
groups	groups	Gruppen	groupes	grupos	группы
easy	easy	einfach	facile	fácil	легко
given	given	gegeben	donné	dado	данный
files	files	Dateien	fichiers	archivos	файлы
event	event	Event	un événement	evento	мероприятие
release	release	Freisetzung	Libération	lanzamiento	выпуск
analysis	analysis	Analyse	une analyse	análisis	анализ
request	request	anfordern	demande	solicitud	запрос
fax	fax	Fax	fax	fax	факс
china	china	China	Chine	China	Китай
making	making	Herstellung	fabrication	fabricación	изготовление
picture	picture	Bild	image	imagen	картина
needs	needs	Bedürfnisse	Besoins	necesariamente	потребности
possible	possible	möglich	possible	posible	возможное
might	might	Macht	pourrait	podría	мог бы
professional	professional	Professional	professionnel	profesional	профессиональный
yet	yet	noch	encore	todavía	все же
month	month	Monat	mois	mes	месяц
major	major	Haupt	majeur	mayor	главный
star	star	Star	étoile	estrella	звезда
areas	areas	Bereiche	domaines	áreas	районы
future	future	Zukunft	avenir	futuro	будущее
space	space	Platz	espace	espacio	пространство
committee	committee	Ausschuss	Comité	comité	комитет
hand	hand	Hand	main	mano	рука
sun	sun	Sonne	Soleil	sol	солнце
cards	cards	Karten	cartes	tarjetas	карты
problems	problems	Probleme	problèmes	problemas	проблемы
london	london	London	Londres	Londres	Лондон
washington	washington	Washington	Washington	Washington	Вашингтон
meeting	meeting	Sitzung	réunion	reunión	встреча
rss	rss	rss	rss	rss	Новости
become	become	werden	devenir	volverse	стали
interest	interest	interessieren	intérêt	interesar	интерес
ID	ID	Identifation	identification	carné de identidad	Я БЫ
child	child	Kind	enfant	niño	ребенок
keep	keep	behalten	garder	guardar	держать
enter	enter	eingeben	Entrer	entrar	войти
california	california	Kalifornien	Californie	California	Калифорния
porn	porn	Porno	porno	pornografía	порно
share	share	teilen	partager	compartir	доля
similar	similar	ähnlich	similaire	similar	аналогичный
garden	garden	Garten	jardin	jardín	сад
schools	schools	Schulen	écoles	escuelas	школы
million	million	Million	million	millón	миллиона
added	added	hinzugefügt	ajoutée	adicional	добавленный
reference	reference	Referenz	référence	referencia	Справка
companies	companies	Firmen	entreprises	compañías	компании
listed	listed	gelistet	énumérés	enumerado	в списке
baby	baby	Baby	bébé	bebé	детка
learning	learning	Lernen	apprentissage	aprendizaje	обучение
energy	energy	Energie	énergie	energía	энергия
run	run	Lauf	courir	correr	бег
delivery	delivery	Lieferanten	livraison	entrega	Доставка
net	net	Netz	net	red	сеть
popular	popular	Beliebt	populaire	popular	популярный
term	term	Begriff	terme	término	срок
film	film	Film	film	película	фильм
stories	stories	Geschichten	histoires	cuentos	истории
put	put	stellen	mettre	poner	положил
computers	computers	Computer	des ordinateurs	ordenadores	компьютеры
journal	journal	Tagebuch	journal	diario	журнал
reports	reports	Berichte	rapports	informes	отчеты
try	try	Versuchen	essayer	tratar	пытаться
welcome	welcome	herzlich willkommen	Bienvenue	Bienvenido	добро пожаловать
central	central	zentral	central	central	центральный
images	images	Bilder	images	imágenes	изображений
president	president	Präsident	Président	presidente	президент
notice	notice	beachten	remarquer	darse cuenta	уведомление
god	god	Gott	Dieu	Dios	Бог
original	original	Original	original	original	оригинал
head	head	Kopf	tête	cabeza	глава
radio	radio	Radio	radio	radio	радио
until	until	bis	jusqu'à	hasta	до
cell	cell	Zelle	cellule	celda	клетка
color	color	Farbe	Couleur	color	цвет
self	self	selbst	soi	yo	сам
council	council	Rat	conseil	Consejo	совет
away	away	ein Weg	un moyen	lejos	далеко
includes	includes	enthält	comprend	incluye	включает
track	track	Spur	Piste	pista	трек
Australia	Australia	Australien	Australie	Australia	Австралия
discussion	discussion	Diskussion	discussion	discusión	обсуждение
archive	archive	archivieren	archiver	archivo	архив
once	once	einmal	une seul fois	una vez	один раз
others	others	andere	autres	otros	другие
entertainment	entertainment	Unterhaltung	Divertissement	entretenimiento	развлекательная программа
agreement	agreement	Zustimmung	une entente	acuerdo	соглашение
format	format	Format	format	formato	формат
least	least	am wenigsten	moins	menos	наименее
society	society	Gesellschaft	société	sociedad	общество
months	months	Monate	mois	meses	месяцы
