и	and
удаться	work out
толстый	fat
цель	target
сквозь	through
прийтись	to come
чистый	clean
знать	know
прежний	former
профессор	Professor
господин	Mr.
счастье	happiness
худой	thin
дух	spirit
план	plan
чужой	foreign
зал	Hall
представить	imagine
особый	special
директор	director
бывший	former
память	memory
близкий	close
сей	this
результат	result
больной	sick
данный	the
кстати	by the way
назвать	call
след	track
улыбаться	smile
бутылка	bottle
трудно	difficult
условие	condition
прежде	before
ум	mind
улыбнуться	smile
процесс	process
картина	picture
вместо	instead
старший	older
центр	Centre
подобный	like
возможно	perhaps
около	about
смеяться	laugh
сто	hundred
будущее	future
хватать	suffice
число	number
всякое	all
рубль	ruble
почувствовать	feel
принести	bring
вера	Vera
вовсе	all
удар	hit
телефон	phone
колено	knee
согласиться	accept
коридор	corridor
мужик	muzhik
правый	right
автор	author
холодно	cold
хватить	suffice
многие	many
встреча	a meeting
кабинет	cabinet
документ	document
самолет	aircraft
вниз	down
принимать	accept
игра	a game
рассказ	story
хлеб	bread
развитие	development
убить	kill
родной	native
открытыйоткрыто	открыто
менее	less
предложить	offer
желтый	yellow
приходиться	fall
выпить	drink
крикнуть	cry
трубка	a tube
враг	enemy
показывать	show
двое	two
доктор	doctor
ладонь	palm
вызвать	cause
спокойно	quietly
попросить	ask
наука	the science
лейтенант	lieutenant
служба	service
оказываться	prove
привести	lead
сорок	forty
счет	score
возвращаться	return
золотой	gold
местный	local
кухня	kitchen
крупный	large
решение	decision
молодая	young
тридцать	thirty
роман	novel
требовать	require
компания	company
частый	frequent
российский	Russian
рабочий	working
потерять	lose
течение	flow
синий	blue
столько	so many
теплый	warm
метр	meter
достать	get
железный	iron
институт	Institute of
сообщить	to report
интерес	interest
обычный	normal
появляться	appear
упасть	fall
остальной	rest
половина	half
московский	Moscow
шесть	six
получиться	get
качество	quality
бой	the battle
шея	neck
вон	out
идея	idea
видимо	apparently
достаточно	enough
провести	conduct
важно	important
трава	grass
дед	grandfather
сознание	consciousness
родитель	parent
простить	to forgive
бить	beat
чай	tea
поздний	late
кивнуть	nod
род	kind
исчезнуть	disappear
тонкий	thin
немецкий	German
звук	sound
отдать	pay
магазин	score
президент	the president
поэт	poet
спасибо	Thank you
болезнь	disease
событие	event
помочь	help
кожа	leather
лист	sheet
слать	send
вспоминать	remember
прекрасный	beautiful
слеза	a tear
надежда	hope
молча	silently
сильно	strong
верныйверно	vernyyverno
литература	literature
оружие	weapon
готовый	ready
запах	smell
неожиданно	suddenly
вчера	yesterday
вздохнуть	breathe
роль	role
рост	growth
природа	nature
политический	political
точка	dot
звезда	star
петь	sing
садиться	sit down
фамилия	surname
характер	character
пожалуйста	you are welcome
выше	higher
офицер	Officer
толпа	crowd
перестать	stop
придтись	to come
уровень	level
неизвестный	unknown
кресло	armchair
баба	woman
секунда	second
пожаловать	grant
банк	bank
опыт	an experience
тихий	quiet
поскольку	because the
сапог	boot
правило	rule
стекло	glass
получать	get
внутренний	interior
дочь	daughter
называться	be called
надеяться	hope
член	member
протянуть	extend
государственный	state
десяток	ten
глубоко	deep
цветок	flower
ах	Oh
желание	a wish
дождь	rain
впереди	ahead
подходить	suit
много	a lot of
лоб	forehead
улыбка	smile
борьба	fight
ворот	the gate
ящик	box
этаж	floor
служить	serve
вновь	again
голубой	blue
нечего	there is nothing
революция	revolution
впервые	first
сосед	neighbor
сестра	sister
долгий	long
чей	whose
поверить	to believe
ситуация	situation
взглянуть	glance
слабый	weak
количество	quantity
вызывать	call
уверенный	sure
выход	exit
совет	council
дурак	fool
любимый	favorite
союз	union
лето	summer
ожидать	expect
пришлый	alien
висеть	hang
граница	border
цвет	Colour
серьёзный	serious
создать	create
интересно	interesting
свобода	freedom
зато	but
стул	chair
уехать	leave
поезд	a train
музыка	music
тень	shadow
лошадь	horse
поле	field
выглядеть	to look like
учиться	study
левый	left
разговаривать	speak
детский	baby
тип	a type
суд	court
связанный	connected
горячий	hot
площадь	area
помогать	to help
счастливый	happy
повернуться	to turn
позволить	allow
встретить	meet
радость	joy
острый	acute
возраст	age
орган	organ
карта	map
входить	enter
обнаружить	discover
король	king
слава	glory
полковник	Col.
мелкий	small
бок	side
цена	price
информация	information
мозг	brain
удовольствие	pleasure
воля	will
область	region
крыша	roof
нести	bear
обратно	back
современный	modern
дама	lady
семь	seven
веселыйвесело	veselyyveselo
прислать	send
сад	garden
правительство	government
милый	cute
относиться	relate
возникать	arise
мол	breakwater
повторить	repeat
название	name
средний	average
пример	example
невозможно	impossible
зеркало	mirror
погибнуть	fall
американский	American
дым	smoke
гореть	burn
плакать	cry
весьма	very
факт	fact
двигаться	move
рыба	a fish
добавить	add
удивиться	wonder
бабушка	grandmother
вино	wine
ибо	for
учитель	teacher
действовать	act
осторожно	Caution
круг	a circle
папа	dad
правильно	correctly
недавно	recently
держаться	hold on
причем	and
лететь	fly
носить	wear
повод	occasion
лагерь	camp
птица	bird
корабль	ship
мнение	opinion
ночной	night
здоровый	healthy
зима	winter
сухой	dry
километр	kilometer
кровать	bed
привыкнуть	get used to it
прочее	other
свободный	free
лестница	stairs
неужели	really
обязательно	necessarily
вверх	up
детство	childhood
остров	Island
статья	article
позвонить	call
столь	so
мешать	prevent
водка	vodka
темнота	darkness
возникнуть	occur
способный	capable
станция	station
желать	want
попробовать	try
получаться	obtained
гражданин	citizen
странно	strangely
вскоре	soon
команда	command
заболевание	disease
живот	stomach
ставить	put
ради	for
тишина	silence
понятно	understandably
фронт	front
щека	cheek
страшно	fearfully
район	area
наверно	maybe
проводить	spend
выражение	expression
слегка	slightly
мешок	bag
обещать	promise
дорогойдорого	dorogoydorogo
судить	judge
большинство	most
собраться	gather
управление	control
колоть	prick
мокрый	wet
приказ	order
прямой	straight
закричать	shout
кончиться	come to an end
куст	bush
стрелять	shoot
художник	artist
знак	sign
завод	factory
кулак	fist
использовать	use
стакан	glass
пахнуть	smell
отсюда	here
рот	mouth
пора	it is time
передать	transfer to
лечение	treatment
высший	higher
сутки	day
вставать	get up
операция	operation
пространство	space
спокойный	calm
одежда	clothes
кусок	a piece
тема	subject
животный	animal
снимать	take off
искусство	art
умный	clever
малый	small
курс	course
звонить	call
очередной	next
чудо	miracle
ощущение	feeling
крайне	extremely
напоминать	remind
придумать	come up
падать	fall
здание	building
свежий	fresh
поговорить	talk
начинаться	start off
милиция	militia
приказать	to order
несмотря	despite
оттуда	thence
засмеяться	burst out laughing
волна	wave
задача	a task
касаться	touch
старуха	old woman
войско	army
срок	time
ужас	horror
узкий	narrow
материал	material
приняться	adopt
нормально	fine
крик	cry
знание	knowledge
трое	three
четвёртый	fourth
шум	noise
заставить	make
автомат	machine
резко	sharp
тетя	aunt
впечатление	impression
пауза	pause
глубина	depth
доллар	dollar
сотня	a hundred
виноватыйвиновато	vinovatyyvinovato
студент	student
боевой	combat
очко	point
нож	knife
подниматься	up
мировой	world
предмет	subject
плохой	bad
майор	Maj.
ударить	bump
разуметься	understand
точный	accurate
всякий	any
деятельность	activity
инженер	engineer
программа	program
костюм	costume
женский	female
крепко	firmly
театр	theater
встречаться	meet
различный	different
хвост	tail
танк	tank
социальный	social
мёртвый	dead
попытаться	to attempt
явно	clearly
журнал	Journal
конь	horse
схватить	catch
вдоль	along
стихи	poems
степень	power
отказаться	refuse
вытащить	pull
предлагать	offer
фигура	figure
ключ	key
черт	heck
отправиться	go
побежать	run
вагон	railway carriage
культура	culture
курить	smoke
боец	fighter
западный	west
фильм	film
восемь	eight 
открывать	open
зайти	go
немедленно	immediately
замечать	notice
пыль	dust
закончить	complete
мягко	soft
труба	trumpet
редкий	rare
миллион	million
следить	follow
масса	weight
пятьдесят	fifty
обстоятельство	circumstance
всякий	any
одновременно	at the same time
броситься	dash
пошло	gone
круглый	round
штаб	headquarters
слух	hearing
голый	naked
закрыть	close
линия	line
лодка	a boat
наоборот	conversely
даль	distance
председатель	chairman
понравиться	please
обратиться	apply
период	period
организм	organism
отдел	Department
весна	Spring
обед	dinner
значение	value
дно	bottom
фотография	the photo
некий	some
успех	success
грязно	dirtily
естественно	naturally
велеть	enjoin
сцена	scene
билет	ticket
состав	composition
знаменитый	famous
лишний	excess
честь	honor
иметься	exist
смех	laugh
СССР	the USSR
деревянный	wood
опустить	lower
родиться	be born
способ	process
спасти	save
зрение	vision
английский	English
отдельный	separate
извинить	excuse
громко	loud
объявить	announce
запад	west
Германия	Germany
обращаться	treat
население	population
беда	trouble
спешить	hurry
еда	food
поздно	late
специальный	special
наблюдать	watch
еврей	Jew
ой	Oh
суметь	manage
обернуться	turn out
министр	Minister
фирма	firm
проснуться	wake up
организация	organization
принцип	principle
направление	direction
гораздо	much
мастер	master
подождать	wait
светло	light
ошибка	error
высота	height
существо	being
заговорить	talk
мальчишка	urchin
пользоваться	use
научный	scientific
повторять	to repeat
ярко	bright
несколько	several
учить	learn
взяться	take
бегать	run
господь	Lord
общественный	public
устроить	to arrange
дышать	breathe
лечь	lie down
США	USA
камера	camera
победа	victory
учёный	scientist
состоять	consist
заходить	call
человечество	humanity
фраза	phrase
внимательно	attentively
считаться	consider
вероятно	probably
соседний	neighboring
замок	Castle
рыжий	red
ездить	ride
господи	Jesus
остановить	stop
встретиться	meet
явиться	appear
рынок	market
тяжело	heavy
злой	evil
клуб	club
привезти	bring
платить	to pay
кость	bone
дикий	wild
личность	personality
столица	capital
спасть	fall down
здоровье	health
здравствовать	long live
попытка	attempt
позволять	let
наиболее	most
постепенно	gradually
пятый	fifth
определённый	certain
читатель	reader
шутка	joke
исторический	historical
вслед	following
сотрудник	employee
внутри	within
собственно	properly
родина	birthplace
царь	king
насчет	about
страница	page
скорость	speed
зверь	beast
помочь	help
заявить	to declare
нечто	something
размер	the size
житель	a citizen
секретарь	Secretary
городской	urban
прекрасно	perfectly
торчать	sticking up
многое	much
Америка	America
сигарета	cigarette
полностью	fully
пиво	beer
прием	reception
противник	enemy
образование	education
продукт	product
поймать	to catch
пуля	bullet
книжка	book
дальний	further
экономический	economic
представитель	representative
собирать	collect
видимый	visible
производство	production
больница	hospital
ресторан	a restaurant
находить	find
диван	sofa
дыхание	breath
тюрьма	jail
лёгкое	lung
мясо	meat
внизу	at the bottom
кошка	cat
взрослый	adult
отсутствие	lack of
настроение	mood
собрать	gather
наступить	come
покой	peace
тянуть	to pull
народный	popular
процент	percent
постоянно	constantly
бросать	throw
мечтать	dream
захотеть	wish
автобус	bus
восток	East
оставлять	leave
усмехнуться	smile
эхо	echo
примерно	about
автомобиль	car
внешне	externally
технический	technical
пропасть	gulf
выдержать	withstand
миг	moment
отряд	squad
сверху	from above
настолько	so
встречать	meet
пускать	let
ясный	clear
занятие	occupation
реальный	real
задний	rear
Европа	Europe
случайно	accidentally
артист	artist
сложный	complicated
планета	planet
порог	threshold
явление	phenomenon
отпустить	release
красота	beauty
воскликнуть	exclaim
напротив	in front of
дрожать	shake
палатка	tent
выбрать	choose
пьяный	drunk
рада	glad
доска	board
пистолет	pistol
пожать	shake
актер	actor
раздаться	go off
зря	for nothing
потолок	ceiling
постель	bed
навстречу	to meet
ближайший	nearest
сумка	a bag
мгновение	instant
праздник	celebration
густо	thick
мост	bridge
энергия	energy
начальство	authority
сожаление	regret
полтора	one and a half
объяснять	explain
обратить	pay
сунуть	shove
пятнадцать	fifteen 
разрешить	solve
участок	lot
жертва	victim
меч	sword
звонок	call
кино	cinema
признаться	admit
мороз	frost
составлять	make
бедный	poor
летний	summer
видать	see
адрес	address
закрытый	closed
горло	throat
костер	bonfire
жалко	miserably
кот	cat
бык	bull
трудный	difficult
текст	text
тепло	heat
занимать	take
песок	sand
больно	painfully
сомнение	doubt
территория	territory
тайна	secret
волк	wolf
терять	lose
приятель	friend
рукав	sleeve
дедушка	granddad
вскочить	jump
прочитать	read
честно	fair
масло	butter
постоянный	constant
всякая	every
существование	Existence
лезть	to climb
младший	Jr
отправить	to send
построить	to build
нервно	nervously
пустить	start up
рождение	birth
заглянуть	look in
проговорить	say
воспоминание	memory
проверить	check
болеть	hurt
тон	tone
понятие	notion
низко	low
далее	Further
вечно	eternally
песня	song
морской	nautical
крыло	wing
поднимать	lift up
розовый	pink
нарушение	violation
осень	autumn
положенный	put
туман	fog
Ленинград	Leningrad
платье	dress
представление	performance
изменение	change
вариант	option
шофер	chauffeur
опасный	dangerous
означать	mean
вход	entrance
практически	practically
нынешний	present
глупо	foolishly
национальный	National
чиновник	official
поверхность	surface
приятно	nicely
каменный	stone
говориться	they say
прочий	other
испытывать	test
рано	early
жениться	marry
аппарат	apparatus
церковь	church
ручка	a pen
оглянуться	look
пригласить	to invite
хозяйка	hostess
строго	strictly
принадлежать	belong
внезапно	suddenly
единый	single
дворец	palace
водитель	driver
строить	build
множество	a bunch of
перейти	go
столик	table
урок	lesson
древний	ancient
опасность	danger
повезти	get lucky
французский	French
поглядеть	look
горе	sorrow
честный	fair
способность	capacity
повернуть	to turn
остальное	rest
добраться	get
серьёзно	Really
признать	recognize
поступить	do
работник	employee
долг	debt
специалист	specialist
торопиться	rush
итак	so
центральный	central
телевизор	TV
зло	evil
вкус	taste
муха	fly
поиск	Search
старшина	petty officer
озеро	lake
чемодан	suitcase
вынуть	remove
сзади	behind
стоить	cost
предел	limit
музей	museum
пятно	spot
зона	zone
ученик	learner
навсегда	forever
толк	sense
полагать	believe
родственник	relative
источник	a source
угодный	pleasing
послушать	listen
колесо	wheel
грязь	mud
отметить	Mark
стен	wall
добро	good
капля	a drop
экран	screen
руководитель	head
инспектор	inspector
удивление	surprise
утверждать	affirm
молоко	milk
очевидно	obviously
отличаться	differ
предложение	sentence
нету	no
среда	Wednesday
выскочить	pop out
одетый	dressed
площадка	area
приезжать	come
катить	roll
совесть	conscience
кофе	coffee
штаны	pants
охота	hunting
бровь	eyebrow
расти	grow
список	list
ниже	below
вернуть	return
зависеть	depend
ствол	trunk
основание	base
северный	northern
познакомиться	become acquainted
поведение	behavior
жалить	sting
найтись	be found
делаться	make
догадаться	guess
дальнейший	further
прожить	live
усилие	an effort
гулять	walk
клетка	cell
разобраться	sort out
обращать	convert
верхний	upper
обстановка	situation
температура	temperature
вывод	conclusion
абсолютно	absolutely
предприятие	company
принятый	accepted
отдавать	give away
сходить	descend
подарок	gift
звучать	sound
отделение	office
волноваться	worry
нижний	lower
штука	thing
защита	protection
вряд	unlikely
выстрел	shot
тотчас	immediately
суть	heart
труп	corpse
основа	the basis
подать	tax
домашний	home
готовить	Cook
участие	participation
жалеть	pity
фон	background
признак	sign
врать	lie
возразить	object
дача	country house
обо	about
довольный	satisfied
готовиться	prepare
слой	layer
охрана	security
превратиться	turn
милиционер	militiaman
портрет	portrait
терпеть	bear
махнуть	wave
шкаф	cupboard
вес	the weight
холод	cold
определить	determine
выпустить	release
тревога	anxiety
выступать	protrude
полок	shelves
куртка	jacket
спустя	after
отчего	from what
изба	cottage
редко	rarely
вершина	vertex
тайный	secret
занятый	busy
рассматривать	to consider
отойти	move away
вырасти	grow
Париж	Paris
убийство	murder
рубашка	shirt
ох	Oh
хозяйство	economy
парк	a park
перевести	translate
режим	mode
руководство	leadership
посадить	seat
преступление	a crime
стенка	wall
орать	scream
кругом	round
обойтись	do
луна	moon
богатый	rich
гостиница	hotel
беседа	conversation
твердый	solid
полк	regiment
выдать	issue
лапа	paw
воевать	fight
останавливаться	stop
никуда	nowhere
обладать	have
продать	sell
спорить	argue
солнечный	solar
забор	fence
больший	more
пост	fast
полезть	start to climb
печально	sorrowfully
выполнять	perform
требоваться	need
бледный	pale
умирать	die
шапка	a cap
дойти	reach
успокоиться	calm down
университет	university
бабка	head
журналист	journalist
должность	position
приближаться	approach
истина	true
раствор	solution
газ	gas
позиция	position
летать	to fly
неожиданный	unexpected
убивать	kill
появление	appearance
глухойглухо	gluhoygluho
обыкновенный	ordinary
двинуться	advance
решительно	decidedly
спуститься	descend
песнь	song
облако	cloud
морда	muzzle
записка	a note
иностранный	foreign
незнакомый	unfamiliar
установить	establish
забывать	forget
позвать	call
физический	physical
ус	mustache
помещение	room
испугаться	wind
плащ	cloak
еле	hardly
темно	dark
подъезд	access
съесть	eat
прочесть	read
следователь	investigator
двенадцать	twelve
задуматься	think
решать	decide
особенный	special
подарить	give
измениться	change
платок	shawl
мощный	powerful
середина	middle
сумасшедший	crazy
наверняка	for sure
здорово	awesome
напряжение	voltage
могила	grave
тоска	yearning
приводить	drive
удивляться	be surprised
буквально	literally
борт	board
забрать	pick up
грех	sin
несчастный	unhappy
строй	formation
занять	take
исследование	study
доказать	prove
буква	letter
реакция	reaction
варить	cook
мужской	male
резкий	cutting
пила	saw
литературный	literary
изменить	amend
обезьяна	a monkey
бригада	brigade
ловить	catch
остаток	the balance
стремиться	seek
пункт	paragraph
тянуться	drag
локоть	elbow
обязанный	bound
краска	paint
разница	difference
расстояние	distance
кружок	circle
пожилой	elderly
непонятно	unclear
окончательно	finally
Дон	Don
заставлять	make
удивительный	astonishing
страдать	suffer
седой	gray
политика	policy
поколение	generation
ожидание	expectation
записать	record
фонарь	lamp
куча	heap
полоса	band
страсть	passion
сержант	sergeant
святой	St
повесть	story
шепот	whisper
теория	theory
интересовать	interest
чисто	purely
пояс	belt
близко	close
включить	enable
поразить	hit
вокзал	railway station
вещество	substance
частный	private
корень	root
помолчать	be silent
столовый	table
ткань	the cloth
открыться	open
поток	flow
вынужденный	compelled
полиция	police
стыдный	shameful
база	base
слышно	heard
строгий	strict
шинель	overcoat
блестящий	brilliant
выбор	selection
сведение	reduction
комиссия	commission
направить	submit
палка	stick
запомнить	remember
бороться	fight
везти	carry
колонна	column
лёд	ice
замечательный	great
надпись	inscription
одинокий	alone
пиджак	a jacket
тарелка	plate
научиться	learn
пища	food
назначить	appoint
подруга	friend
выбирать	to choose
взрыв	explosion
сущность	essence
батарея	battery
техника	equipment
пастух	shepherd
напомнить	recall
сомневаться	doubt
крыльцо	porch
радоваться	rejoice
покрыть	cover by
глянуть	glance
значительно	much
захватить	grab
вождь	leader
восточный	Oriental
приносить	bring
международный	international
необходимость	necessity
оттого	that is why
духовный	spiritual
голод	hunger
девица	damsel
временный	temporary
составить	compose
ровно	smooth
мечта	dream
кольцо	ring
ага	aha
дочка	daughter
королева	queen
картошка	potato
достоинство	dignity
медведь	bear
содержание	content
проект	project
костить	Costa
согласный	consonant
покупать	buy
сперва	first
юный	young
любопытство	curiosity
создание	creature
паспорт	passport
двести	two hundred
коллега	colleague
девчонка	gal
луч	Ray
стучать	knock
коммунист	communist
просьба	request
домик	lodge
полчаса	half an hour
железо	iron
отличие	distinction
менять	change
мгновенно	instantly
пес	dog
разглядывать	examine
горько	bitterly
орудие	weapon
специально	specially
сказка	fairy tale
закурить	to smoke
семейный	family
устать	get tired
прикрыть	cover
твёрдо	firmly
молодец	well done
замолчать	fall silent
завести	make
прибыть	to arrive
собрание	collection
девять	nine 
слон	elephant
подтвердить	confirm
юноша	youth
сойти	get
поступать	do
крутойкруто	krutoykruto
валить	throw
объект	an object
убитый	killed
сравнение	comparison
справа	on right
благородный	noble
океан	ocean
поселок	village
тайга	taiga
борода	beard
пачка	pack
надоесть	bother
привычка	habit
сумма	sum
вывести	withdraw
прыгать	jump
создавать	create
грубыйгрубо	grubyygrubo
поездка	Trip
убедиться	make sure
ненавидеть	hate
заявление	statement
поражение	defeat
август	August
привычный	habitual
официально	officially
передний	front
север	north
шляпа	hat
изо	every
молчание	silence
исчезать	disappear
эй	Hey
топор	ax
ощущать	feel
тащить	drag
брюки	pants
соответствующий	appropriate
элемент	element
одеяло	a blanket
мотор	motor
везде	everywhere
дружба	friendship
безопасность	security
скрывать	hide
совершить	commit
крест	cross
земной	terrestrial
школьный	school
замереть	freeze
прозрачный	transparent
подавать	submit
истинный	true
кабина	cabin
пальто	coat
восторг	delight
экономика	economy
забота	care
произвести	make
дождаться	wait for
талант	talent
плыть	swim
запись	record
ведро	bucket
крестьянин	peasant
поворот	turn
подробность	detail
столб	pole
канал	channel
пассажир	passenger
выполнить	perform
устройство	device
благодаря	thanks
направиться	head
влияние	effect
ракета	rocket
гражданский	civil
шутить	tell jokes
смена	change
случаться	happen
спрятать	hide
предстоять	await
затылок	nape
юг	south
эпоха	era
товар	product
проклятый	damn
ветка	branch
кормить	feed
продолжаться	continue
разведчик	scout
отлично	excellent
боже	Christ
молодость	youth
отдыхать	relax
октябрь	October
широко	wide
храм	temple
сдать	pass
шестой	sixth
жаловаться	to complain
скала	rock
расчёт	calculation
решиться	decide
грозный	formidable
сделаться	to become
обида	offense
наступать	tread
скрыться	hide
огород	garden
насколько	to what extent
запас	stock
особенность	feature
уезжать	leave
заняться	do
шар	ball
печка	stove
неприятно	unpleasantly
могучий	powerful
заранее	beforehand
открытие	opening
переходить	move
орден	decoration
попадать	fall
ботинок	shoe
польза	benefit
печать	print
пот	sweat
корпус	housing
склад	stock
компьютер	a computer
слева	left
уважать	respect
женить	marry
рана	wound
